P	POP	n
15.01901141	Helgoland	3
13.71537208	Helgoland	3
14.58446496	Helgoland	3
15.53503531	Helgoland	3
14.65236285	Helgoland	3
14.86963607	Helgoland	3
15.08690929	Helgoland	3
15.20912548	Helgoland	3
14.08202064	Helgoland	3
14.47582835	Helgoland	3
14.28571429	Helgoland	3
14.58446496	Helgoland	3
13.72895166	Helgoland	3
13.81042911	Helgoland	3
14.3943509	Helgoland	3
15.08690929	Helgoland	3
14.81531776	Helgoland	3
14.9646931	Helgoland	3
14.69310158	Helgoland	3
14.27213471	Helgoland	3
15.05975014	Helgoland	3
16.62140141	Helgoland	3
14.3943509	Helgoland	3
14.84247691	Helgoland	3
13.85116784	Helgoland	3
16.40412819	Helgoland	3
14.42151005	Helgoland	3
15.34492124	Helgoland	3
14.14991852	Helgoland	3
16.30907116	Helgoland	3
15.83378599	Helgoland	3
14.85605649	Helgoland	3
14.43508963	Helgoland	3
16.30907116	Helgoland	3
14.89679522	Helgoland	3
14.7338403	Helgoland	3
15.15480717	Helgoland	3
15.35850081	Helgoland	3
14.20423683	Helgoland	3
13.72895166	Helgoland	3
15.11406844	Helgoland	3
14.59804454	Helgoland	3
13.9326453	Helgoland	3
14.14991852	Helgoland	3
14.81531776	Helgoland	3
14.58446496	Helgoland	3
14.10917979	Helgoland	3
13.94622488	Helgoland	3
14.42151005	Helgoland	3
14.25855513	Helgoland	3
14.97827268	Helgoland	3
13.55241716	Helgoland	3
14.05486149	Helgoland	3
15.33134166	Helgoland	3
14.679522	Helgoland	3
14.14991852	Helgoland	3
15.98316133	Helgoland	3
15.96958175	Helgoland	3
13.48451928	Helgoland	3
14.28571429	Helgoland	3
16.2275937	Helgoland	3
15.26344378	Helgoland	3
15.80662683	Helgoland	3
15.43997827	Helgoland	3
13.44378055	Helgoland	3
16.06463878	Helgoland	3
14.42151005	Helgoland	3
14.97827268	Helgoland	3
13.98696361	Helgoland	3
14.01412276	Helgoland	3
15.29060293	Helgoland	3
14.19065725	Helgoland	3
15.16838675	Helgoland	3
14.43508963	Helgoland	3
14.10917979	Helgoland	3
14.12275937	Helgoland	3
15.35850081	Helgoland	3
14.9646931	Helgoland	3
14.42151005	Helgoland	3
13.7017925	Helgoland	3
15.22270505	Helgoland	3
15.61651276	Helgoland	3
15.65725149	Helgoland	3
13.71537208	Helgoland	3
16.10537751	Helgoland	3
14.24497556	Helgoland	3
15.88810429	Helgoland	3
15.43997827	Helgoland	3
15.07332971	Helgoland	3
15.54861488	Helgoland	3
15.60293319	Helgoland	3
14.20423683	Helgoland	3
14.88321564	Helgoland	3
14.88321564	Helgoland	3
14.76099946	Helgoland	3
16.20043455	Helgoland	3
15.11406844	Helgoland	3
13.71537208	Helgoland	3
13.85116784	Helgoland	3
14.77457903	Helgoland	3
17.16458446	Helgoland	6
17.97935904	Helgoland	6
17.16458446	Helgoland	6
18.26453015	Helgoland	6
17.76208582	Helgoland	6
17.95219989	Helgoland	6
17.55839218	Helgoland	6
19.97555676	Helgoland	6
17.40901684	Helgoland	6
17.58555133	Helgoland	6
17.47691472	Helgoland	6
18.5768604	Helgoland	6
19.35089625	Helgoland	6
17.19174362	Helgoland	6
18.69907659	Helgoland	6
18.84845193	Helgoland	6
19.13362303	Helgoland	6
18.64475828	Helgoland	6
17.88430201	Helgoland	6
17.32753938	Helgoland	6
18.78055405	Helgoland	6
17.44975557	Helgoland	6
18.75339489	Helgoland	6
18.63117871	Helgoland	6
16.92015209	Helgoland	6
19.66322651	Helgoland	6
17.80282455	Helgoland	6
18.5225421	Helgoland	6
19.59532863	Helgoland	6
18.03367735	Helgoland	6
17.21890277	Helgoland	6
19.22868007	Helgoland	6
19.97555676	Helgoland	6
17.73492667	Helgoland	6
17.16458446	Helgoland	6
17.70776752	Helgoland	6
19.41879413	Helgoland	6
16.89299294	Helgoland	6
18.72623574	Helgoland	6
17.53123303	Helgoland	6
18.3460076	Helgoland	6
17.68060837	Helgoland	6
18.11515481	Helgoland	6
17.46333514	Helgoland	6
18.95708854	Helgoland	6
20.34220532	Helgoland	6
20.640956	Helgoland	6
19.05214557	Helgoland	6
17.23248235	Helgoland	6
17.65344921	Helgoland	6
18.88919066	Helgoland	6
18.19663227	Helgoland	6
18.30526888	Helgoland	6
18.42748506	Helgoland	6
18.19663227	Helgoland	6
19.44595329	Helgoland	6
19.01140684	Helgoland	6
18.53612167	Helgoland	6
17.80282455	Helgoland	6
16.87941336	Helgoland	6
18.44106464	Helgoland	6
18.76697447	Helgoland	6
17.27322108	Helgoland	6
19.0928843	Helgoland	6
16.64856056	Helgoland	6
18.54970125	Helgoland	6
17.65344921	Helgoland	6
18.91634981	Helgoland	6
17.51765345	Helgoland	6
19.21510049	Helgoland	6
18.53612167	Helgoland	6
18.08799565	Helgoland	6
17.34111896	Helgoland	6
18.68549701	Helgoland	6
16.63498099	Helgoland	6
16.9744704	Helgoland	6
17.93862032	Helgoland	6
19.0928843	Helgoland	6
18.33242803	Helgoland	6
17.19174362	Helgoland	6
18.48180337	Helgoland	6
18.37316676	Helgoland	6
18.33242803	Helgoland	6
19.82618142	Helgoland	6
18.2916893	Helgoland	6
18.73981532	Helgoland	6
18.92992939	Helgoland	6
20.39652363	Helgoland	6
19.01140684	Helgoland	6
18.31884845	Helgoland	6
17.50407387	Helgoland	6
17.85714286	Helgoland	6
19.52743074	Helgoland	6
18.78055405	Helgoland	6
17.87072243	Helgoland	6
17.20532319	Helgoland	6
19.86692015	Helgoland	6
19.77186312	Helgoland	6
17.00162955	Helgoland	6
17.43617599	Helgoland	6
20.0706138	Helgoland	8
20.39652363	Helgoland	8
21.30635524	Helgoland	8
20.21998914	Helgoland	8
19.51385117	Helgoland	8
19.8940793	Helgoland	8
19.77186312	Helgoland	8
19.97555676	Helgoland	8
20.05703422	Helgoland	8
20.00271592	Helgoland	8
20.72243346	Helgoland	8
19.16078218	Helgoland	8
21.25203694	Helgoland	8
21.36067355	Helgoland	8
20.93970668	Helgoland	8
19.22868007	Helgoland	8
19.63606735	Helgoland	8
20.73601304	Helgoland	8
20.28788702	Helgoland	8
18.71265617	Helgoland	8
21.6730038	Helgoland	8
19.79902227	Helgoland	8
19.33731668	Helgoland	8
20.84464965	Helgoland	8
19.56816947	Helgoland	8
21.37425312	Helgoland	8
20.45084193	Helgoland	8
20.30146659	Helgoland	8
19.12004345	Helgoland	8
19.51385117	Helgoland	8
20.68169473	Helgoland	8
18.50896252	Helgoland	8
20.01629549	Helgoland	8
18.69907659	Helgoland	8
20.72243346	Helgoland	8
19.54101032	Helgoland	8
21.60510592	Helgoland	8
19.3780554	Helgoland	8
19.73112439	Helgoland	8
20.45084193	Helgoland	8
20.89896795	Helgoland	8
21.80879957	Helgoland	8
19.63606735	Helgoland	8
20.84464965	Helgoland	8
19.18794134	Helgoland	8
20.36936448	Helgoland	8
21.1569799	Helgoland	8
18.50896252	Helgoland	8
18.97066812	Helgoland	8
21.03476372	Helgoland	8
19.21510049	Helgoland	8
20.4101032	Helgoland	8
19.48669202	Helgoland	8
20.21998914	Helgoland	8
21.52362846	Helgoland	8
20.85822922	Helgoland	8
19.69038566	Helgoland	8
20.66811515	Helgoland	8
19.25583922	Helgoland	8
19.79902227	Helgoland	8
21.91743618	Helgoland	8
18.71265617	Helgoland	8
18.8077132	Helgoland	8
22.08039109	Helgoland	8
19.0928843	Helgoland	8
19.6089082	Helgoland	8
20.04345464	Helgoland	8
20.43726236	Helgoland	8
20.30146659	Helgoland	8
19.88049973	Helgoland	8
19.81260185	Helgoland	8
21.06192287	Helgoland	8
20.32862575	Helgoland	8
18.83487235	Helgoland	8
20.73601304	Helgoland	8
19.8940793	Helgoland	8
19.51385117	Helgoland	8
19.25583922	Helgoland	8
18.27810972	Helgoland	8
19.67680608	Helgoland	8
21.98533406	Helgoland	8
20.09777295	Helgoland	8
18.50896252	Helgoland	8
18.50896252	Helgoland	8
21.442151	Helgoland	8
20.19282998	Helgoland	8
19.28299837	Helgoland	8
21.37425312	Helgoland	8
19.36447583	Helgoland	8
20.93970668	Helgoland	8
17.42259641	Helgoland	8
19.12004345	Helgoland	8
20.42368278	Helgoland	8
19.33731668	Helgoland	8
19.62248778	Helgoland	8
20.70885388	Helgoland	8
19.0928843	Helgoland	8
21.04834329	Helgoland	8
20.50516024	Helgoland	8
20.45084193	Helgoland	8
22.67789245	Helgoland	10
22.48777838	Helgoland	10
20.84464965	Helgoland	10
20.20640956	Helgoland	10
20.21998914	Helgoland	10
22.84084737	Helgoland	10
21.98533406	Helgoland	10
21.9581749	Helgoland	10
22.67789245	Helgoland	10
22.81368821	Helgoland	10
21.56436719	Helgoland	10
20.93970668	Helgoland	10
21.19771863	Helgoland	10
21.48288973	Helgoland	10
21.18413905	Helgoland	10
22.29766431	Helgoland	10
22.4741988	Helgoland	10
20.65453558	Helgoland	10
22.06681152	Helgoland	10
20.5866377	Helgoland	10
22.39272135	Helgoland	10
22.39272135	Helgoland	10
22.82726779	Helgoland	10
19.70396524	Helgoland	10
21.23845736	Helgoland	10
22.25692558	Helgoland	10
20.95328626	Helgoland	10
20.9261271	Helgoland	10
20.89896795	Helgoland	10
19.54101032	Helgoland	10
20.77675177	Helgoland	10
22.24334601	Helgoland	10
21.60510592	Helgoland	10
19.64964693	Helgoland	10
21.64584465	Helgoland	10
22.73221076	Helgoland	10
21.94459533	Helgoland	10
21.30635524	Helgoland	10
20.83107007	Helgoland	10
20.99402499	Helgoland	10
21.82237914	Helgoland	10
20.91254753	Helgoland	10
20.27430744	Helgoland	10
20.76317219	Helgoland	10
20.1249321	Helgoland	10
19.94839761	Helgoland	10
20.72243346	Helgoland	10
21.17055948	Helgoland	10
21.17055948	Helgoland	10
21.11624117	Helgoland	10
20.02987507	Helgoland	10
21.56436719	Helgoland	10
23.31613254	Helgoland	10
23.85931559	Helgoland	10
21.14340033	Helgoland	10
20.36936448	Helgoland	10
21.19771863	Helgoland	10
20.84464965	Helgoland	10
21.64584465	Helgoland	10
21.74090168	Helgoland	10
21.64584465	Helgoland	10
21.23845736	Helgoland	10
21.72732211	Helgoland	10
22.66431287	Helgoland	10
22.29766431	Helgoland	10
21.40141228	Helgoland	10
22.29766431	Helgoland	10
19.69038566	Helgoland	10
21.26561651	Helgoland	10
22.05323194	Helgoland	10
20.8718088	Helgoland	10
22.63715372	Helgoland	10
21.19771863	Helgoland	10
22.20260728	Helgoland	10
19.839761	Helgoland	10
20.91254753	Helgoland	10
22.32482347	Helgoland	10
22.86800652	Helgoland	10
21.52362846	Helgoland	10
21.11624117	Helgoland	10
20.61379685	Helgoland	10
21.31993482	Helgoland	10
22.44703965	Helgoland	10
21.30635524	Helgoland	10
21.52362846	Helgoland	10
20.70885388	Helgoland	10
20.23356871	Helgoland	10
23.04454101	Helgoland	10
21.55078762	Helgoland	10
21.86311787	Helgoland	10
22.33840304	Helgoland	10
20.02987507	Helgoland	10
21.49646931	Helgoland	10
22.6507333	Helgoland	10
20.76317219	Helgoland	10
20.96686583	Helgoland	10
19.59532863	Helgoland	10
20.60021727	Helgoland	10
23.00380228	Helgoland	10
22.51493753	Helgoland	10
29.19608908	Bodo	3
29.00597501	Bodo	3
29.26398696	Bodo	3
30.11950027	Bodo	3
29.54915807	Bodo	3
29.56273764	Bodo	3
29.33188485	Bodo	3
29.42694188	Bodo	3
28.81586095	Bodo	3
