P	POP	n
44.37086093	BancMagaud_1	3
36.96345352	BancMagaud_1	3
42.62938435	BancMagaud_1	3
38.43512387	BancMagaud_1	3
37.82192789	BancMagaud_1	3
33.23522198	BancMagaud_1	3
43.92935982	BancMagaud_1	3
39.36718175	BancMagaud_1	3
39.41623743	BancMagaud_1	3
37.50306598	BancMagaud_1	3
42.62938435	BancMagaud_1	3
37.96909492	BancMagaud_1	3
35.3200883	BancMagaud_1	3
39.41623743	BancMagaud_1	3
40.66715722	BancMagaud_1	3
33.45597253	BancMagaud_1	3
38.31248467	BancMagaud_1	3
41.37846456	BancMagaud_1	3
37.30684327	BancMagaud_1	3
42.58032867	BancMagaud_1	3
41.37846456	BancMagaud_1	3
39.53887662	BancMagaud_1	3
43.02182978	BancMagaud_1	3
38.4596517	BancMagaud_1	3
37.89551141	BancMagaud_1	3
40.66715722	BancMagaud_1	3
38.41059603	BancMagaud_1	3
36.12950699	BancMagaud_1	3
36.91439784	BancMagaud_1	3
36.12950699	BancMagaud_1	3
38.85209713	BancMagaud_1	3
38.85209713	BancMagaud_1	3
36.30120186	BancMagaud_1	3
38.36154035	BancMagaud_1	3
37.30684327	BancMagaud_1	3
39.41623743	BancMagaud_1	3
36.54648026	BancMagaud_1	3
38.36154035	BancMagaud_1	3
42.38410596	BancMagaud_1	3
36.42384106	BancMagaud_1	3
42.8501349	BancMagaud_1	3
38.41059603	BancMagaud_1	3
38.43512387	BancMagaud_1	3
40.7162129	BancMagaud_1	3
41.86902134	BancMagaud_1	3
33.23522198	BancMagaud_1	3
39.36718175	BancMagaud_1	3
40.34829532	BancMagaud_1	3
37.08609272	BancMagaud_1	3
36.12950699	BancMagaud_1	3
36.42384106	BancMagaud_1	3
36.86534216	BancMagaud_1	3
36.96345352	BancMagaud_1	3
33.23522198	BancMagaud_1	3
37.33137111	BancMagaud_1	3
44.29727741	BancMagaud_1	3
42.70296787	BancMagaud_1	3
44.29727741	BancMagaud_1	3
36.62006377	BancMagaud_1	3
39.29359823	BancMagaud_1	3
38.65587442	BancMagaud_1	3
43.02182978	BancMagaud_1	3
38.36154035	BancMagaud_1	3
33.45597253	BancMagaud_1	3
38.90115281	BancMagaud_1	3
42.38410596	BancMagaud_1	3
42.16335541	BancMagaud_1	3
34.755948	BancMagaud_1	3
40.7162129	BancMagaud_1	3
38.36154035	BancMagaud_1	3
36.3257297	BancMagaud_1	3
44.81236203	BancMagaud_1	3
38.31248467	BancMagaud_1	3
43.92935982	BancMagaud_1	3
36.96345352	BancMagaud_1	3
33.45597253	BancMagaud_1	3
34.85405936	BancMagaud_1	3
41.4029924	BancMagaud_1	3
33.67672308	BancMagaud_1	3
36.3257297	BancMagaud_1	3
38.65587442	BancMagaud_1	3
36.42384106	BancMagaud_1	3
35.39367182	BancMagaud_1	3
36.96345352	BancMagaud_1	3
37.79740005	BancMagaud_1	3
38.75398577	BancMagaud_1	3
40.44640667	BancMagaud_1	3
43.58597008	BancMagaud_1	3
38.31248467	BancMagaud_1	3
37.52759382	BancMagaud_1	3
36.30120186	BancMagaud_1	3
42.38410596	BancMagaud_1	3
42.62938435	BancMagaud_1	3
38.43512387	BancMagaud_1	3
44.73877851	BancMagaud_1	3
38.43512387	BancMagaud_1	3
37.79740005	BancMagaud_1	3
41.37846456	BancMagaud_1	3
44.29727741	BancMagaud_1	3
39.41623743	BancMagaud_1	3
48.68776061	BancMagaud_1	6
53.05371597	BancMagaud_1	6
51.7537405	BancMagaud_1	6
46.50478293	BancMagaud_1	6
54.08388521	BancMagaud_1	6
54.08388521	BancMagaud_1	6
51.72921266	BancMagaud_1	6
49.69340201	BancMagaud_1	6
52.93107677	BancMagaud_1	6
53.59332843	BancMagaud_1	6
54.25558008	BancMagaud_1	6
48.00098111	BancMagaud_1	6
52.12165808	BancMagaud_1	6
51.1896002	BancMagaud_1	6
53.51974491	BancMagaud_1	6
54.10841305	BancMagaud_1	6
54.67255335	BancMagaud_1	6
46.48025509	BancMagaud_1	6
53.27446652	BancMagaud_1	6
53.22541084	BancMagaud_1	6
46.84817268	BancMagaud_1	6
50.94432181	BancMagaud_1	6
45.71989208	BancMagaud_1	6
53.93671818	BancMagaud_1	6
53.61785627	BancMagaud_1	6
52.51410351	BancMagaud_1	6
51.77826833	BancMagaud_1	6
47.21609026	BancMagaud_1	6
51.77826833	BancMagaud_1	6
52.31788079	BancMagaud_1	6
52.61221486	BancMagaud_1	6
45.71989208	BancMagaud_1	6
49.59529065	BancMagaud_1	6
49.17831739	BancMagaud_1	6
52.04807456	BancMagaud_1	6
52.68579838	BancMagaud_1	6
54.50085847	BancMagaud_1	6
48.95756684	BancMagaud_1	6
52.39146431	BancMagaud_1	6
50.47829286	BancMagaud_1	6
49.08020603	BancMagaud_1	6
51.58204562	BancMagaud_1	6
48.78587196	BancMagaud_1	6
48.02550895	BancMagaud_1	6
51.90090753	BancMagaud_1	6
51.58204562	BancMagaud_1	6
45.98969831	BancMagaud_1	6
46.21044886	BancMagaud_1	6
51.72921266	BancMagaud_1	6
52.53863135	BancMagaud_1	6
49.59529065	BancMagaud_1	6
51.58204562	BancMagaud_1	6
49.61981849	BancMagaud_1	6
53.61785627	BancMagaud_1	6
53.66691195	BancMagaud_1	6
52.34240863	BancMagaud_1	6
53.74049546	BancMagaud_1	6
52.04807456	BancMagaud_1	6
53.83860682	BancMagaud_1	6
53.27446652	BancMagaud_1	6
52.51410351	BancMagaud_1	6
51.85185185	BancMagaud_1	6
54.59896983	BancMagaud_1	6
53.59332843	BancMagaud_1	6
51.066961	BancMagaud_1	6
52.61221486	BancMagaud_1	6
46.799117	BancMagaud_1	6
51.066961	BancMagaud_1	6
48.2462595	BancMagaud_1	6
47.14250675	BancMagaud_1	6
45.18027962	BancMagaud_1	6
51.87637969	BancMagaud_1	6
53.61785627	BancMagaud_1	6
48.46701006	BancMagaud_1	6
54.4518028	BancMagaud_1	6
52.34240863	BancMagaud_1	6
54.20652441	BancMagaud_1	6
53.93671818	BancMagaud_1	6
51.36129507	BancMagaud_1	6
48.4915379	BancMagaud_1	6
54.20652441	BancMagaud_1	6
53.56880059	BancMagaud_1	6
49.76698553	BancMagaud_1	6
53.78955114	BancMagaud_1	6
48.68776061	BancMagaud_1	6
52.68579838	BancMagaud_1	6
54.08388521	BancMagaud_1	6
51.87637969	BancMagaud_1	6
52.93107677	BancMagaud_1	6
53.93671818	BancMagaud_1	6
47.51042433	BancMagaud_1	6
53.59332843	BancMagaud_1	6
51.7537405	BancMagaud_1	6
46.84817268	BancMagaud_1	6
51.23865587	BancMagaud_1	6
53.96124601	BancMagaud_1	6
52.68579838	BancMagaud_1	6
53.71596762	BancMagaud_1	6
